dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,16,100224,0.0000,0.3750,0.6314,0.7795,14.6875,15.5625
kv_retrieval,17,100224,0.0000,0.6445,0.7157,0.8175,14.8125,16.2500
kv_retrieval,18,100224,0.0000,0.7070,0.6881,0.8390,14.6875,18.8750
kv_retrieval,19,100224,0.0002,1.1094,0.7882,0.8021,19.0000,19.0000
kv_retrieval,20,100224,0.0000,0.4629,0.6110,0.8342,16.7500,17.0000
kv_retrieval,21,100224,0.0000,0.4805,0.7048,0.8131,18.2500,17.5000
kv_retrieval,22,100224,0.0011,0.7305,0.7266,0.8690,14.4375,15.8750
kv_retrieval,23,100224,0.0000,0.6445,0.7450,0.8798,19.6250,17.0000
kv_retrieval,24,100224,0.0007,0.5469,0.6861,0.8837,19.8750,19.0000
kv_retrieval,25,100224,0.0000,1.2578,0.8097,0.8897,18.2500,18.3750
kv_retrieval,26,100224,0.0001,0.7070,0.8733,0.9441,17.0000,18.2500
kv_retrieval,27,100224,0.0000,1.0781,0.8309,0.8721,131.0000,23.1250
kv_retrieval,0,150400,2.4844,7.5312,0.7056,0.7964,178.0000,19.7500
kv_retrieval,1,150400,1.0781,6.4688,0.8516,0.9597,11.5000,9.3750
kv_retrieval,2,150400,0.0250,3.0781,0.7129,0.9710,9.2500,10.7500
kv_retrieval,3,150400,0.0615,3.8906,0.8075,0.9734,12.4375,9.7500
kv_retrieval,4,150400,0.0000,0.5625,0.7631,0.9214,18.5000,21.8750
kv_retrieval,5,150400,0.0023,1.0625,0.7681,0.9600,26.7500,19.8750
kv_retrieval,6,150400,0.0118,1.7812,0.7670,0.9331,13.8125,20.1250
kv_retrieval,7,150400,0.0012,1.3125,0.7815,0.9268,20.0000,17.0000
kv_retrieval,8,150400,0.0020,0.8516,0.7185,0.9480,22.3750,22.0000
kv_retrieval,9,150400,0.0000,1.4141,0.7640,0.9489,15.7500,16.0000
kv_retrieval,10,150400,0.0001,1.3359,0.6964,0.9219,21.2500,22.3750
kv_retrieval,11,150400,0.0027,1.1016,0.5458,0.8661,24.6250,22.7500
kv_retrieval,12,150400,0.0000,1.0625,0.6758,0.8881,24.2500,18.5000
kv_retrieval,13,150400,0.0002,1.3047,0.6850,0.9124,14.8750,15.7500
kv_retrieval,14,150400,0.0000,0.5156,0.7447,0.9149,18.8750,17.8750
kv_retrieval,15,150400,0.0000,0.9531,0.7321,0.9143,28.1250,19.3750
kv_retrieval,16,150400,0.0026,0.5469,0.6166,0.7805,21.6250,15.5000
kv_retrieval,17,150400,0.0006,0.6680,0.7213,0.8337,20.5000,16.2500
kv_retrieval,18,150400,0.0000,0.7539,0.6908,0.8574,14.5625,19.0000
kv_retrieval,19,150400,0.0000,0.9844,0.7927,0.8265,112.0000,19.0000
kv_retrieval,20,150400,0.0000,0.6055,0.6066,0.8565,16.8750,17.1250
kv_retrieval,21,150400,0.0000,0.5078,0.7095,0.8148,18.2500,17.5000
kv_retrieval,22,150400,0.0025,0.7148,0.7372,0.8861,14.1875,15.7500
kv_retrieval,23,150400,0.0000,0.7383,0.7450,0.8974,19.5000,17.0000
kv_retrieval,24,150400,0.0002,0.6250,0.6886,0.8829,12.9375,18.8750
kv_retrieval,25,150400,0.0001,1.2109,0.8181,0.9117,18.2500,18.5000
kv_retrieval,26,150400,0.0004,0.7461,0.8970,0.9611,17.3750,18.2500
